Istasyon,Tarih,PM10,SO2,CO,NO2,NOX,NO,O3
Akcaabat,1/1/2019,33.667655,11.71690067,914.8018083,33.50335875,44.25210912,10.74875092,29.74393225
Akcaabat,1/2/2019,65.08744417,22.26294613,1436.981921,57.58727917,95.12612113,37.53884146,23.42746033
Akcaabat,1/3/2019,77.36640958,19.61548604,1322.937491,58.79252942,95.40947717,36.61694788,29.52892667
Akcaabat,1/4/2019,59.64555917,18.23901263,1088.972087,52.0130125,74.6371818,22.62417096,31.33869879
Akcaabat,1/5/2019,32.57814279,10.69295235,1033.839888,37.56563557,48.22898961,10.66335378,32.68941617
Akcaabat,1/6/2019,38.67229,14.08092062,1101.087117,44.73820125,56.89765562,12.15945467,28.06142408
Akcaabat,1/7/2019,31.91623896,19.35719267,951.3634833,43.04779667,53.32783786,10.28004158,41.3298225
Akcaabat,1/8/2019,39.85651667,19.54617579,1083.235304,48.10761625,66.92890565,18.82128804,29.70729012
Akcaabat,1/9/2019,32.54358067,16.30069392,1004.430712,42.15762437,58.19309936,16.03547508,37.47712925
Akcaabat,1/10/2019,55.83843604,20.58238208,1337.2665,58.74874879,92.30179292,33.55303854,29.47556143
Akcaabat,1/11/2019,60.14567954,21.59227783,1277.955317,58.16570452,83.8613671,25.69566487,39.1026625
Akcaabat,1/12/2019,40.28370204,13.01135812,887.9765417,45.12206125,60.87498534,15.75292383,40.96722917
Akcaabat,1/13/2019,59.18282333,16.21310179,1390.476458,56.84584625,70.79190885,13.94606163,27.64577521
Akcaabat,1/14/2019,45.91388667,13.76939983,995.5524542,44.42161517,59.85953452,15.4379195,32.46953446
Akcaabat,1/15/2019,86.677055,25.59058878,1763.226408,75.40443708,126.5586308,51.15419471,26.21170804
Akcaabat,1/16/2019,34.43382625,16.62075946,1067.6637,45.16236958,53.94177435,8.779404458,44.28847
Akcaabat,1/17/2019,29.01420792,11.53781225,958.5440304,39.04026917,49.64183508,10.60156771,35.83015792
Akcaabat,1/18/2019,36.782425,10.72381221,912.3661417,38.47651125,49.60264108,11.12613042,37.42229204
Akcaabat,1/19/2019,34.72436621,11.42806822,849.9114958,38.74167461,51.2371445,12.49546983,44.7682215
Akcaabat,1/20/2019,39.888645,10.74368575,832.2605875,35.38140608,46.89355297,11.51214471,45.78543538
Akcaabat,1/21/2019,43.45290358,13.48931154,883.8824833,44.02922875,59.68474913,15.65552225,45.73699721
Akcaabat,1/22/2019,43.37238375,13.68071146,967.7558958,42.24771542,56.34296561,14.09525158,34.50886008
Akcaabat,1/23/2019,44.16093625,13.86064846,998.281875,44.14789667,65.48893473,21.34104042,27.64841329
Akcaabat,1/24/2019,98.871165,22.0257155,1525.928167,71.24667242,131.3445455,60.09787521,30.99565087
Akcaabat,1/25/2019,62.01147833,14.05250192,914.6016958,51.12866958,64.04390219,12.91523288,44.74686292
Akcaabat,1/26/2019,96.16036042,20.83257492,1562.511946,76.29880579,130.2123915,53.91358558,26.86762842
Akcaabat,1/27/2019,62.04452542,12.86958213,957.3081208,46.21605125,61.37396572,15.15791388,38.19299663
Akcaabat,1/28/2019,66.99729833,9.194537375,810.4170167,36.58543417,45.43582049,8.850386,36.44446125
Akcaabat,1/29/2019,84.95481083,9.051093167,976.7369167,40.36163042,56.61612543,16.25449604,26.89200746
Akcaabat,1/30/2019,78.2432275,19.62012063,1411.338183,68.19529767,114.6668097,46.47151342,30.26062758
Akcaabat,1/31/2019,74.09371208,14.19881296,1184.397604,56.75833792,77.47583608,20.71749946,42.43019375
Akcaabat,2/1/2019,35.66794433,10.39319596,878.7557708,46.79957167,60.70394663,13.90437513,46.32280529
Akcaabat,2/2/2019,36.17883542,11.19400543,1020.192958,44.13383826,56.38994051,12.25610287,38.92660733
Akcaabat,2/3/2019,44.22350875,10.36577392,980.5992125,37.28995542,53.02693058,15.73697438,34.14711717
Akcaabat,2/4/2019,44.61147333,14.092733,1000.198342,47.60928125,67.9166289,20.30734871,33.80281413
Akcaabat,2/5/2019,59.53356783,19.19868446,1302.440017,55.75195542,97.40423147,41.65227417,33.60689142
Akcaabat,2/6/2019,68.74687183,24.31074646,1502.805637,72.02121417,123.6495185,51.6283105,23.89660633
Akcaabat,2/7/2019,50.387765,14.86281212,1329.409042,58.40194042,76.73702773,18.33508621,25.12095571
Akcaabat,2/8/2019,38.29428708,10.39096796,1067.099708,38.00275833,45.56415615,7.561397833,34.00275958
Akcaabat,2/9/2019,37.483285,11.43644104,1175.645875,43.62590375,53.5816323,9.955727417,30.06396288
Akcaabat,2/10/2019,37.23132375,12.87263733,1303.726,42.34066042,55.86986609,13.529206,19.04072054
Akcaabat,2/11/2019,40.70844583,11.39564454,1186.207875,41.41991625,60.78859663,19.36867913,20.56031171
Akcaabat,2/12/2019,50.24241583,16.73753733,1125.49925,49.43746542,75.30006876,25.86260492,33.03082654
